"List Name","Card Name","Description","Labels"
"Epics / Sprints","Epic: Configuração Inicial do Projeto","Este épico abrange todas as tarefas relacionadas à configuração inicial dos ambientes de desenvolvimento para backend, frontend e mobile, bem como a estrutura inicial do banco de dados e documentação.","Infra/DevOps,Documentation"
"Epics / Sprints","Epic: Autenticação e Gestão de Usuários (JWT)","Este épico foca na implementação completa do sistema de autenticação e autorização, incluindo registro de diferentes tipos de usuário, login com JWT e controle de acesso baseado em papéis (RBAC).","Auth,Backend (Django),Frontend (React),Mobile (React Native)"
"Epics / Sprints","Epic: Funcionalidades para Clientes (Marketplace)","Engloba o desenvolvimento de todas as funcionalidades voltadas para o cliente final, como busca de produtos, comparação de preços, criação de listas de compras e recebimento de sugestões otimizadas.","Feature,Backend (Django),Frontend (React),Mobile (React Native)"
"Epics / Sprints","Epic: Funcionalidades para Vendedores (Marketplace)","Desenvolvimento das ferramentas para os vendedores, incluindo o gerenciamento de seus produtos e lojas, e um dashboard para acompanhar vendas e avaliações.","Feature,Backend (Django),Frontend (React)"
"Epics / Sprints","Epic: Módulo SaaS - Monitoramento de Concorrência","Criação do módulo de Software as a Service para vendedores, permitindo o monitoramento automático de preços de concorrentes, com dashboards para análise de dados.","SaaS (Scraper),Feature,Backend (Django),Frontend (React)"
"Epics / Sprints","Epic: Sugestões Inteligentes (IA)","Implementação de funcionalidades baseadas em IA, como a sugestão de estabelecimentos próximos (mesmo não cadastrados) utilizando geolocalização e análise de dados.","AI/ML,Feature,Backend (Django)"
"Epics / Sprints","Epic: Infraestrutura, Testes e Deploy","Todas as tarefas relacionadas à qualidade do código, automação e publicação do projeto, incluindo testes unitários/integração, CI/CD e configuração do ambiente de produção.","Infra/DevOps,Backend (Django),Frontend (React)"
"Epics / Sprints","Epic: Hub de Projetos (cdekteck.com.br)","Tarefas relacionadas à atualização da página hub estática para incluir o acesso ao projeto Caça-Preço.","Frontend (React),UI/UX"
"Backlog (To Do)","[Setup] Configurar ambiente de desenvolvimento do Backend (Django)","Criar virtualenv, instalar dependências do requirements.txt, configurar settings.py para desenvolvimento local.","Infra/DevOps,Backend (Django)"
"Backlog (To Do)","[Setup] Configurar ambiente de desenvolvimento do Frontend (React)","Executar 'npm install' para instalar as dependências do package.json, configurar variáveis de ambiente (.env).","Infra/DevOps,Frontend (React)"
"Backlog (To Do)","[Setup] Configurar ambiente de desenvolvimento do Mobile (React Native)","Executar 'npm install' no diretório mobile, configurar Expo e as dependências nativas necessárias.","Infra/DevOps,Mobile (React Native)"
"Backlog (To Do)","[Setup] Definir e configurar o esquema do banco de dados inicial","Revisar os modelos em models.py e executar as migrações iniciais do Django (makemigrations, migrate).","Database,Backend (Django)"
"Backlog (To Do)","[Setup] Criar documentação inicial do projeto e da API","Elaborar o README detalhado para cada módulo e iniciar a documentação da API em /docs.","Documentation"
"Backlog (To Do)","[Auth] Implementar registro de usuário (Cliente, Vendedor, Admin)","Criar o endpoint na API do Django para registrar novos usuários com diferentes papéis.","Auth,Backend (Django)"
